state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030004,P0060004,P0030005,P0030003,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_native,pr_native+,pr_asian,pr_black_afr_am
02,020,000801,2,723,367,347,60,82,130,27,77,02,020,000801,2,020200008012,723,0.5076071922544951,0.08298755186721991,0.11341632088520055,0.1798063623789765,0.03734439834024896,0.10650069156293222
02,020,000801,3,782,327,310,64,67,128,84,78,02,020,000801,3,020200008013,782,0.41815856777493604,0.08184143222506395,0.08567774936061381,0.1636828644501279,0.10741687979539642,0.09974424552429667
02,020,000801,4,1252,600,551,131,130,183,104,147,02,020,000801,4,020200008014,1252,0.4792332268370607,0.10463258785942492,0.10383386581469649,0.14616613418530353,0.08306709265175719,0.11741214057507987
02,020,000801,5,917,397,371,114,102,175,79,114,02,020,000801,5,020200008015,917,0.43293347873500543,0.12431842966194111,0.11123227917121047,0.19083969465648856,0.0861504907306434,0.12431842966194111
02,020,000801,6,1438,325,289,212,148,216,577,108,02,020,000801,6,020200008016,1438,0.22600834492350486,0.1474269819193324,0.10292072322670376,0.1502086230876217,0.4012517385257302,0.07510431154381085
02,020,000801,7,995,375,338,117,147,223,118,125,02,020,000801,7,020200008017,995,0.3768844221105528,0.11758793969849246,0.14773869346733667,0.2241206030150754,0.1185929648241206,0.12562814070351758
02,020,000802,1,458,187,174,60,72,112,98,3,02,020,000802,1,020200008021,458,0.40829694323144106,0.13100436681222707,0.1572052401746725,0.2445414847161572,0.21397379912663755,0.006550218340611353
02,020,000802,2,1031,470,444,91,107,147,104,130,02,020,000802,2,020200008022,1031,0.45586808923375366,0.08826382153249272,0.1037827352085354,0.1425800193986421,0.1008729388942774,0.12609117361784675
02,020,000802,3,1069,564,543,76,100,138,120,150,02,020,000802,3,020200008023,1069,0.5275958840037418,0.07109448082319925,0.09354536950420954,0.12909260991580918,0.11225444340505145,0.1403180542563143
02,020,000802,4,1122,520,495,98,144,194,142,106,02,020,000802,4,020200008024,1122,0.46345811051693403,0.0873440285204991,0.12834224598930483,0.17290552584670232,0.1265597147950089,0.0944741532976827
02,020,000802,5,727,342,328,77,91,132,53,115,02,020,000802,5,020200008025,727,0.47042640990371387,0.10591471801925723,0.12517193947730398,0.1815680880330124,0.07290233837689133,0.15818431911966988
02,020,000901,1,2069,831,762,201,425,576,133,284,02,020,000901,1,020200009011,2069,0.40164330594490094,0.09714838086031899,0.2054132431126148,0.27839536007733207,0.06428226196230062,0.13726437892701787
02,020,000901,2,1787,452,356,251,482,663,311,151,02,020,000901,2,020200009012,1787,0.25293788472299944,0.14045886961387802,0.2697257974258534,0.3710128707330722,0.1740346950195859,0.08449916060436485
02,020,000901,3,1050,416,386,112,119,181,79,198,02,020,000901,3,020200009013,1050,0.3961904761904762,0.10666666666666667,0.11333333333333333,0.17238095238095238,0.07523809523809524,0.18857142857142858
02,020,000902,1,1362,379,348,150,107,176,172,294,02,020,000902,1,020200009021,1362,0.27826725403817915,0.11013215859030837,0.07856093979441997,0.12922173274596183,0.1262848751835536,0.21585903083700442
02,020,000902,2,1069,521,488,104,112,182,116,135,02,020,000902,2,020200009022,1069,0.48737137511693174,0.09728718428437792,0.10477081384471469,0.17025257249766138,0.10851262862488306,0.12628624883068287
02,020,000902,3,710,559,544,25,28,67,16,44,02,020,000902,3,020200009023,710,0.7873239436619718,0.035211267605633804,0.03943661971830986,0.09436619718309859,0.022535211267605635,0.061971830985915494
02,020,001000,1,885,505,468,69,78,142,67,97,02,020,001000,1,020200010001,885,0.5706214689265536,0.07796610169491526,0.08813559322033898,0.16045197740112993,0.07570621468926554,0.1096045197740113
02,020,001000,2,1703,958,887,130,341,404,96,127,02,020,001000,2,020200010002,1703,0.5625366999412801,0.07633587786259542,0.2002348796241926,0.2372284204345273,0.05637110980622431,0.0745742806811509
02,020,001000,3,780,433,412,50,143,189,43,32,02,020,001000,3,020200010003,780,0.5551282051282052,0.0641025641025641,0.18333333333333332,0.2423076923076923,0.05512820512820513,0.041025641025641026
02,020,001000,4,763,479,455,63,105,166,36,43,02,020,001000,4,020200010004,763,0.6277850589777195,0.08256880733944955,0.13761467889908258,0.21756225425950196,0.047182175622542594,0.0563564875491481
02,020,001100,1,220,156,145,17,30,32,13,6,02,020,001100,1,020200011001,220,0.7090909090909091,0.07727272727272727,0.13636363636363635,0.14545454545454545,0.05909090909090909,0.02727272727272727
02,020,001100,2,720,464,448,46,120,139,26,61,02,020,001100,2,020200011002,720,0.6444444444444445,0.06388888888888888,0.16666666666666666,0.19305555555555556,0.03611111111111111,0.08472222222222223
02,020,001200,1,690,601,584,30,20,33,25,8,02,020,001200,1,020200012001,690,0.8710144927536232,0.043478260869565216,0.028985507246376812,0.04782608695652174,0.036231884057971016,0.011594202898550725
02,020,001200,2,671,580,563,25,31,50,15,11,02,020,001200,2,020200012002,671,0.8643815201192251,0.037257824143070044,0.046199701937406856,0.07451564828614009,0.022354694485842028,0.01639344262295082
02,020,001200,3,528,466,458,19,18,29,11,4,02,020,001200,3,020200012003,528,0.8825757575757576,0.03598484848484849,0.03409090909090909,0.054924242424242424,0.020833333333333332,0.007575757575757576
02,020,001200,4,1046,915,891,31,23,45,21,27,02,020,001200,4,020200012004,1046,0.8747609942638623,0.029636711281070746,0.02198852772466539,0.043021032504780114,0.020076481835564052,0.02581261950286807
02,020,001200,5,783,708,686,30,13,30,29,1,02,020,001200,5,020200012005,783,0.9042145593869731,0.038314176245210725,0.016602809706257982,0.038314176245210725,0.037037037037037035,0.001277139208173691
02,020,001300,1,1195,1046,1017,43,41,52,29,7,02,020,001300,1,020200013001,1195,0.8753138075313808,0.03598326359832636,0.03430962343096234,0.04351464435146443,0.024267782426778243,0.005857740585774059
02,020,001300,2,791,707,695,23,23,52,17,2,02,020,001300,2,020200013002,791,0.8938053097345132,0.029077117572692796,0.029077117572692796,0.06573957016434892,0.021491782553729456,0.0025284450063211127
02,020,001300,3,1073,912,882,60,34,56,38,15,02,020,001300,3,020200013003,1073,0.8499534016775396,0.05591798695246971,0.03168685927306617,0.0521901211556384,0.035414725069897485,0.013979496738117428
02,020,001400,1,682,413,386,64,94,132,47,41,02,020,001400,1,020200014001,682,0.6055718475073314,0.093841642228739,0.1378299120234604,0.1935483870967742,0.0689149560117302,0.060117302052785926
02,020,001400,2,835,646,626,49,64,102,35,10,02,020,001400,2,020200014002,835,0.7736526946107785,0.058682634730538925,0.07664670658682635,0.12215568862275449,0.041916167664670656,0.011976047904191617
02,020,001400,3,1147,618,591,126,121,208,137,74,02,020,001400,3,020200014003,1147,0.5387968613775065,0.10985178727114212,0.1054925893635571,0.18134263295553618,0.11944202266782912,0.06451612903225806
02,020,001400,4,987,529,474,103,114,176,86,77,02,020,001400,4,020200014004,987,0.53596757852077,0.10435663627152988,0.11550151975683891,0.17831813576494426,0.08713272543059777,0.07801418439716312
02,020,001400,5,477,189,174,59,47,72,70,26,02,020,001400,5,020200014005,477,0.39622641509433965,0.12368972746331237,0.09853249475890985,0.1509433962264151,0.14675052410901468,0.05450733752620545
