Code,Name,ID,District,D-Pres Vote,R-Pres Vote,TP-Pres Vote,D-Dist Vote,R-Dist Vote,Contested,AREA,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,sumTOTALPOP,sumWHITE,sumBLACK,sumNATIVE,sumASIAN,sumPACISLAND,sumOTHER,sumTWO_PLUS,sumHISPANIC,sumNATALNCOMB,sumMALE,sumFEMALE,sumGRPQTRS,sumHOUSEUNITS,sumVACANT,sumOCCUPIED,sumOWNED,sumRENTED,count,County,Incumbent D,Incumbent R,Winner,Reg. Voters,Reg. D-Voters,Reg. R-Voters,Reg. N-Voters,Reg. U-Voters,pr_D-Pres,pr_R-Pres,pr_TP=Pres,pr_White,pr_Native,pop_dens
30-200, Central,191,30,106,542,40,118,484,B,15.93,2445,1622,823,0.5074,2591,2235,14,128,26,3,17,168,114,236,1321,1270,3,1219,224,995,766,229,90,Kenai Peninsula Borough,0,0,R,2017,157,763,316,665,0.154069767,0.787790698,0.058139535,0.862601312,0.049401775,153.4839925
30-210, K-Beach,192,30,184,793,82,207,728,B,15.68,3270,1622,1648,1.016,3124,2653,12,183,32,11,35,198,110,332,1593,1531,22,1449,251,1198,1034,164,88,Kenai Peninsula Borough,0,0,R,2750,191,1110,431,898,0.17374882,0.748819641,0.077431539,0.849231754,0.058578745,208.5459184
30-250, Soldotna,194,30,263,1044,143,298,955,B,16.58,5206,1622,3584,2.2096,5209,4505,12,218,83,13,41,337,184,441,2530,2679,87,2489,380,2109,1321,788,172,Kenai Peninsula Borough,0,0,R,4285,365,1543,706,1413,0.18137931,0.72,0.09862069,0.864849299,0.041850643,313.9927624
30-220,Kenai No. 1,193,30,202,644,95,257,563,B,118.33,3561,1622,1939,1.1954,3561,2746,38,370,51,15,34,307,178,602,1765,1796,54,1587,165,1422,739,683,122,Kenai Peninsula Borough,0,0,R,2583,244,762,460,940,0.21466525,0.684378321,0.100956429,0.771131705,0.103903398,30.09380546
30-240,Kenai No. 3,237,30,105,353,64,117,345,B,11.38,1602,1622,-20,-0.0123,1602,1357,3,121,13,1,7,100,57,207,783,819,0,754,112,642,459,183,87,Kenai Peninsula Borough,0,0,R,1322,115,438,251,448,0.201149425,0.676245211,0.122605364,0.847066167,0.075530587,140.7732865
31-350,Homer No. 1,199,31,329,433,104,NA,739,R,19.24,2718,1622,1096,0.6757,2718,2419,9,131,28,1,19,111,73,214,1322,1396,44,1485,222,1263,726,537,83,Kenai Peninsula Borough,0,1,R,2650,424,694,428,962,0.379907621,0.5,0.120092379,0.889992642,0.048197204,141.2681913
31-380, Kasilof,202,31,249,703,78,NA,773,R,470.19,2730,1622,1108,0.6831,2730,2424,7,133,12,3,20,131,63,243,1481,1249,1,1703,496,1207,1041,166,163,Kenai Peninsula Borough,0,1,R,2369,198,741,445,853,0.241747573,0.682524272,0.075728155,0.887912088,0.048717949,5.806163466
31-360,Homer No. 2,200,31,284,346,91,NA,585,R,23.31,2285,1622,663,0.4088,2285,2051,10,75,20,4,11,114,31,160,1152,1133,27,1207,235,972,629,343,83,Kenai Peninsula Borough,0,1,R,2092,308,571,359,757,0.393897365,0.479889043,0.126213592,0.897592998,0.032822757,98.02659803
31-340,Funny River No. 2,198,31,86,429,54,NA,436,R,1148.47,2270,1622,648,0.3995,2270,2049,1,86,17,0,11,106,71,176,1186,1084,75,974,153,821,672,149,166,Kenai Peninsula Borough,0,1,R,1676,126,618,259,569,0.151142355,0.753954306,0.094903339,0.902643172,0.037885463,1.976542705
31-370, Kachemak/Fritz Creek,201,31,357,294,62,NA,565,R,62.72,1888,1622,266,0.164,1898,1701,10,62,20,3,13,89,57,118,953,945,3,1102,228,874,667,207,47,Kenai Peninsula Borough,0,1,R,1806,351,395,318,654,0.500701262,0.412342216,0.086956522,0.896206533,0.032665964,30.10204082
31-320, Fox River,197,31,59,129,13,NA,154,R,783.74,1153,1622,-469,-0.2891,1153,1112,0,8,9,0,2,22,3,28,610,543,0,548,206,342,267,75,46,Kenai Peninsula Borough,0,1,R,606,57,159,107,257,0.293532338,0.641791045,0.064676617,0.96444059,0.006938422,1.471151147
31-310, Diamond Ridge,196,31,201,165,41,NA,326,R,51.7,1246,1622,-376,-0.2318,1236,1133,1,41,15,0,2,44,25,64,657,579,0,692,169,523,434,89,39,Kenai Peninsula Borough,0,1,R,1074,207,231,177,401,0.493857494,0.405405405,0.100737101,0.916666667,0.033171521,24.10058027
31-300, Anchor Point,195,31,164,611,81,NA,626,R,348.06,2234,1622,612,0.3773,2234,2017,5,85,19,1,8,99,56,158,1180,1054,0,1387,447,940,777,163,66,Kenai Peninsula Borough,0,1,R,1849,147,696,308,593,0.191588785,0.713785047,0.094626168,0.902864816,0.038048344,6.418433603
31-390, Ninilchik,203,31,126,376,39,NA,405,R,758.82,1447,1622,-175,-0.1079,1447,1187,3,170,5,1,7,74,35,233,770,677,0,1500,829,671,558,113,99,Kenai Peninsula Borough,0,1,R,1312,116,482,221,381,0.232902033,0.695009242,0.072088725,0.820317899,0.117484451,1.906908094
32-845, Port Lions,207,32,14,39,4,3,22,B,2471.04,326,1622,-1296,-0.799,326,185,0,120,7,0,0,14,9,132,177,149,9,212,94,118,75,43,422,Kodiak Island Borough,0,1,R,195,15,50,46,76,0.245614035,0.684210526,0.070175439,0.567484663,0.36809816,0.131928257
32-810, Flats,240,32,144,306,52,74,210,B,331.3,2047,1622,425,0.262,2047,1757,36,46,25,4,20,159,137,133,1112,935,131,687,57,630,236,394,215,Kodiak Island Borough,0,1,R,1857,177,740,259,594,0.28685259,0.609561753,0.103585657,0.858329262,0.02247191,6.178690009
32-860, Yakutat,244,32,102,86,21,52,88,B,5887.72,662,1622,-960,-0.5919,662,281,2,237,27,12,1,102,17,330,360,302,18,446,176,270,153,117,504,Yakutat City and Borough,0,1,R,462,67,82,93,190,0.488038278,0.411483254,0.100478469,0.424471299,0.358006042,0.112437412
32-815, Kodiak Island South,204,32,8,18,5,0,2,B,8613.27,240,1622,-1382,-0.852,240,66,2,138,1,0,0,33,8,170,129,111,13,242,161,81,54,27,611,Kodiak Island Borough,0,1,R,195,39,43,31,72,0.258064516,0.580645161,0.161290323,0.275,0.575,0.027863982
32-830, Mission Road,243,32,412,839,147,145,566,B,112.61,4327,1622,2705,1.6677,4327,2880,23,555,331,20,97,421,257,854,2271,2056,39,1663,105,1558,1113,445,109,Kodiak Island Borough,0,1,R,3276,348,1010,513,1265,0.294706724,0.600143062,0.105150215,0.665588167,0.128264386,38.42465145
