state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030004,P0060004,P0030005,P0030003,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_native,pr_native+,pr_asian,pr_black_afr_am
02,020,001702,5258,3550,3440,276,448,699,287,342,02,020,001702,02020001702,5258,0.6751616584252568,0.05249144161278053,0.08520349942944085,0.13294028147584633,0.05458349182198555,0.06504374286801065
02,020,001731,5823,3365,3174,412,580,942,405,566,02,020,001731,02020001731,5823,0.5778808174480509,0.07075390692083118,0.09960501459728663,0.16177228232869656,0.0695517774343122,0.09720075562424867
02,020,001732,6179,4018,3818,460,377,667,361,533,02,020,001732,02020001732,6179,0.6502670335005665,0.07444570318821815,0.06101310891730053,0.10794626962291633,0.05842369315423208,0.08625991260721799
02,020,001801,4907,3161,2974,421,439,649,465,233,02,020,001801,02020001801,4907,0.6441817811289994,0.08579580191563073,0.08946403097615652,0.1322600366822906,0.09476258406358264,0.04748318728347259
02,020,001802,5537,2839,2660,591,747,1106,701,304,02,020,001802,02020001802,5537,0.5127325266389742,0.1067364999096984,0.1349106014087051,0.1997471554993679,0.12660285353079284,0.05490337728011559
02,020,001900,4194,1866,1721,495,529,785,724,297,02,020,001900,02020001900,4194,0.4449213161659514,0.11802575107296137,0.12613257033857891,0.187172150691464,0.1726275631855031,0.07081545064377683
02,020,002000,3748,1779,1629,470,517,763,571,143,02,020,002000,02020002000,3748,0.4746531483457844,0.12540021344717184,0.137940234791889,0.2035752401280683,0.1523479188900747,0.03815368196371398
02,020,002100,3787,2369,2249,249,403,599,329,121,02,020,002100,02020002100,3787,0.6255611301822023,0.06575125429099551,0.10641668867177186,0.1581726960654872,0.08687615526802218,0.031951412727752836
02,020,002201,5053,3078,2940,344,359,556,873,162,02,020,002201,02020002201,5053,0.6091430833168415,0.06807836928557293,0.07104690283000198,0.1100336433801702,0.17276865228577082,0.032060162279833763
02,020,002202,2960,1914,1796,252,279,427,237,130,02,020,002202,02020002202,2960,0.6466216216216216,0.08513513513513514,0.09425675675675675,0.14425675675675675,0.08006756756756757,0.04391891891891892
02,020,002301,7088,5194,4989,351,387,645,725,166,02,020,002301,02020002301,7088,0.7327878103837472,0.049520316027088035,0.054599322799097065,0.09099887133182845,0.10228555304740407,0.02341986455981941
02,020,002302,4791,3184,3031,314,448,691,367,124,02,020,002302,02020002302,4791,0.6645794197453558,0.06553955332915884,0.09350866207472344,0.14422876226257567,0.07660196201210603,0.02588186182425381
02,020,002303,9273,5739,5382,764,828,1311,979,382,02,020,002303,02020002303,9273,0.6188935619540602,0.08238973363528523,0.08929149142672274,0.14137819475897767,0.1055753262158956,0.04119486681764262
02,020,002400,3299,2151,2044,229,339,490,273,98,02,020,002400,02020002400,3299,0.6520157623522279,0.06941497423461655,0.10275841163989087,0.14852985753258563,0.08275234919672628,0.029705971506517128
02,020,002501,4993,3245,3088,453,447,673,376,198,02,020,002501,02020002501,4993,0.6499098738233527,0.09072701782495493,0.08952533546965752,0.1347887041858602,0.07530542759863809,0.03965551772481474
02,020,002502,5236,3373,3208,392,374,620,469,304,02,020,002502,02020002502,5236,0.6441940412528648,0.0748663101604278,0.07142857142857142,0.11841100076394194,0.08957219251336898,0.058059587471352175
02,020,002601,4784,2622,2445,464,450,756,629,279,02,020,002601,02020002601,4784,0.5480769230769231,0.09698996655518395,0.09406354515050168,0.15802675585284282,0.1314799331103679,0.05831939799331104
02,020,002602,5805,3643,3422,494,449,737,724,208,02,020,002602,02020002602,5805,0.6275624461670973,0.085099052540913,0.07734711455641688,0.12695951765719207,0.12472006890611542,0.03583118001722653
02,020,002603,6341,4151,3973,437,555,864,599,263,02,020,002603,02020002603,6341,0.6546286074751616,0.06891657467276455,0.087525626872733,0.13625611102349788,0.0944645954896704,0.04147610786942123
02,020,002702,9670,7384,7076,598,591,1034,507,239,02,020,002702,02020002702,9670,0.763598759048604,0.061840744570837644,0.061116856256463285,0.10692864529472595,0.05243019648397104,0.024715615305067218
02,020,002711,6589,4926,4772,298,328,510,588,182,02,020,002711,02020002711,6589,0.7476096524510548,0.045226893307026866,0.049779936257398696,0.07740173015632114,0.0892396418272879,0.027621793898922446
02,020,002712,9068,5296,4886,963,840,1340,1281,349,02,020,002712,02020002712,9068,0.5840317600352889,0.10619761799735333,0.09263343625937362,0.14777238641376267,0.14126599029554476,0.038486987207763564
02,020,002811,6313,3721,3518,604,631,959,794,274,02,020,002811,02020002811,6313,0.5894186599081261,0.0956755900522731,0.09995247901156344,0.1519087597022018,0.1257722160620941,0.043402502772057656
02,020,002812,7166,6014,5827,269,268,432,369,118,02,020,002812,02020002812,7166,0.8392408596148478,0.037538375662852355,0.03739882779793469,0.06028467764443204,0.051493162154619035,0.016466648060284677
02,020,002813,4579,4147,4098,109,122,186,85,46,02,020,002813,02020002813,4579,0.9056562568246342,0.02380432408822887,0.02664337191526534,0.040620222756060274,0.018563005022930772,0.010045861541821358
02,020,002821,5050,4249,4130,205,177,305,214,112,02,020,002821,02020002821,5050,0.8413861386138614,0.040594059405940595,0.03504950495049505,0.060396039603960394,0.04237623762376238,0.022178217821782177
02,020,002822,4020,3563,3496,112,169,251,71,34,02,020,002822,02020002822,4020,0.886318407960199,0.027860696517412936,0.04203980099502488,0.062437810945273634,0.017661691542288558,0.00845771144278607
02,020,002823,5217,4525,4390,188,133,241,200,79,02,020,002823,02020002823,5217,0.8673567184205482,0.036036036036036036,0.025493578685068047,0.04619513130151428,0.03833620854897451,0.01514280237684493
02,020,002900,2570,2350,2291,92,54,93,66,5,02,020,002900,02020002900,2570,0.914396887159533,0.0357976653696498,0.021011673151750974,0.03618677042801557,0.025680933852140077,0.0019455252918287938
02,050,000100,9483,301,299,35,9009,9158,6,7,02,050,000100,02050000100,9483,0.03174101022883054,0.003690815142887272,0.9500158177791838,0.9657281451017611,0.0006327111673521037,0.0007381630285774544
02,050,000200,6080,1417,1380,136,3953,4334,153,53,02,050,000200,02050000200,6080,0.23305921052631579,0.02236842105263158,0.6501644736842105,0.7128289473684211,0.025164473684210525,0.008717105263157894
02,050,000300,1450,176,175,10,1147,1265,1,5,02,050,000300,02050000300,1450,0.12137931034482759,0.006896551724137931,0.7910344827586206,0.8724137931034482,0.000689655172413793,0.0034482758620689655
02,060,000100,997,481,476,24,334,481,8,0,02,060,000100,02060000100,997,0.48244734202607825,0.024072216649949848,0.3350050150451354,0.48244734202607825,0.00802407221664995,0.0
02,068,000100,1826,1637,1614,42,65,116,19,10,02,068,000100,02068000100,1826,0.8964950711938664,0.023001095290251915,0.035596933187294635,0.06352683461117196,0.0104052573932092,0.00547645125958379
02,070,000100,2466,146,145,25,2137,2312,0,2,02,070,000100,02070000100,2466,0.059205190592051905,0.01013787510137875,0.8665855636658556,0.9375506893755069,0.0,0.0008110300081103001
02,070,000200,2381,732,710,76,1333,1583,32,9,02,070,000200,02070000200,2381,0.3074338513229735,0.031919361612767747,0.5598488030239395,0.6648467030659386,0.013439731205375893,0.0037799244015119695
02,090,000100,1709,1139,1086,108,293,375,38,94,02,090,000100,02090000100,1709,0.6664716208308953,0.06319485078993564,0.17144528964306613,0.21942656524283208,0.022235225277940317,0.05500292568753657
02,090,000200,3418,2168,2074,186,595,720,103,241,02,090,000200,02090000200,3418,0.6342890579286132,0.05441778818022235,0.1740784084259801,0.2106495026331188,0.03013458162668227,0.07050906963136337
02,090,000300,4958,2639,2458,374,848,1130,221,648,02,090,000300,02090000300,4958,0.5322710770471965,0.0754336425978217,0.17103670835014118,0.22791448164582492,0.0445744251714401,0.1306978620411456
