state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
28,013,950300,3126,2260,2252,16,3,830,999,28,013,950300,28013950300,3126,0.7229686500319897,0.005118362124120281,0.0009596928982725527,0.2655150351887396,0.31957773512476007
28,013,950400,3250,2122,1953,577,2,700,882,28,013,950400,28013950400,3250,0.6529230769230769,0.17753846153846153,0.0006153846153846154,0.2153846153846154,0.2713846153846154
28,013,950500,2764,1402,1394,34,1,1302,680,28,013,950500,28013950500,2764,0.5072358900144718,0.012301013024602027,0.000361794500723589,0.4710564399421129,0.2460202604920405
28,015,950100,4938,3803,3784,73,18,1019,1663,28,015,950100,28015950100,4938,0.7701498582422033,0.014783313082219522,0.0036452004860267314,0.20635884973673552,0.33677602268124746
28,015,950200,5659,3153,3143,33,2,2442,1833,28,015,950200,28015950200,5659,0.5571655769570596,0.005831418978618131,0.00035341933203746247,0.43152500441774166,0.3239088178123343
28,017,950100,4110,1504,1484,71,3,2518,1078,28,017,950100,28017950100,4110,0.3659367396593674,0.01727493917274939,0.00072992700729927,0.6126520681265207,0.262287104622871
28,017,950200,3517,2407,2370,127,10,986,1047,28,017,950200,28017950200,3517,0.6843901052032982,0.03611032129655957,0.0028433323855558716,0.2803525732158089,0.2976969007676997
28,017,950300,4225,2285,2236,277,26,1648,1056,28,017,950300,28017950300,4225,0.5408284023668639,0.06556213017751479,0.006153846153846154,0.39005917159763315,0.24994082840236687
28,017,950400,5540,3190,3164,168,14,2167,1719,28,017,950400,28017950400,5540,0.575812274368231,0.03032490974729242,0.002527075812274368,0.3911552346570397,0.31028880866425995
28,019,950100,2761,2409,2397,22,5,304,925,28,019,950100,28019950100,2761,0.8725099601593626,0.00796812749003984,0.0018109380659181455,0.11010503440782325,0.3350235421948569
28,019,950200,4201,2570,2539,50,1,1571,1316,28,019,950200,28019950200,4201,0.611759104975006,0.011901928112354201,0.00023803856224708403,0.373958581290169,0.31325874791716257
28,019,950300,1585,867,867,4,2,699,396,28,019,950300,28019950300,1585,0.5470031545741325,0.002523659305993691,0.0012618296529968455,0.44100946372239747,0.24984227129337538
28,021,950100,3330,790,787,14,17,2502,1047,28,021,950100,28021950100,3330,0.23723723723723725,0.004204204204204204,0.005105105105105105,0.7513513513513513,0.3144144144144144
28,021,950200,1463,211,208,7,9,1235,343,28,021,950200,28021950200,1463,0.1442241968557758,0.004784688995215311,0.006151742993848257,0.8441558441558441,0.23444976076555024
28,021,950300,4811,366,358,53,14,4367,1155,28,021,950300,28021950300,4811,0.07607565994595718,0.01101642070255664,0.002909997921430056,0.9077114944917897,0.24007482851797962
28,023,950100,4359,3322,3306,20,7,988,1557,28,023,950100,28023950100,4359,0.7621013994035329,0.004588208304657031,0.001605872906629961,0.22665749025005735,0.3571920165175499
28,023,950200,5969,4290,4262,44,8,1609,1938,28,023,950200,28023950200,5969,0.7187133523203216,0.007371418998157145,0.0013402579996649355,0.26955939018261016,0.32467750041883064
28,023,950300,3547,1424,1413,41,5,2067,1145,28,023,950300,28023950300,3547,0.40146602762898226,0.011559063997744572,0.00140964195094446,0.5827459825204399,0.32280800676628135
28,023,950400,2857,1705,1693,27,9,1095,825,28,023,950400,28023950400,2857,0.5967798389919496,0.009450472523626182,0.003150157507875394,0.3832691634581729,0.2887644382219111
28,025,950100,5581,2608,2592,53,4,2894,1646,28,025,950100,28025950100,5581,0.4672997670668339,0.00949650600250851,0.0007167174341515857,0.5185450636086723,0.2949292241533775
28,025,950200,2537,1108,1090,21,2,1413,846,28,025,950200,28025950200,2537,0.4367363027197477,0.008277493102089082,0.0007883326763894363,0.5569570358691368,0.3334647221127316
28,025,950300,3632,687,670,44,3,2912,631,28,025,950300,28025950300,3632,0.18915198237885464,0.012114537444933921,0.0008259911894273128,0.801762114537445,0.17373348017621146
