state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,111201,3791,2079,1465,1846,97,346,683,36,103,111201,36103111201,3791,0.5484041150092324,0.48694275916644686,0.025586916380902137,0.09126879451332102,0.1801635452387233
36,103,111202,4700,3647,3032,1217,222,159,1205,36,103,111202,36103111202,4700,0.7759574468085106,0.25893617021276594,0.04723404255319149,0.033829787234042556,0.25638297872340426
36,103,111300,4693,4411,4300,140,116,81,1477,36,103,111300,36103111300,4693,0.9399105050074579,0.02983166418069465,0.024717664606861284,0.01725974856168762,0.31472405710632856
36,103,111401,1420,1250,1142,128,47,77,459,36,103,111401,36103111401,1420,0.8802816901408451,0.09014084507042254,0.03309859154929577,0.054225352112676053,0.3232394366197183
36,103,111402,4885,4227,3948,403,278,138,1525,36,103,111402,36103111402,4885,0.8653019447287615,0.08249744114636642,0.05690890481064483,0.028249744114636644,0.31218014329580346
36,103,111503,4323,3400,3193,438,214,418,1116,36,103,111503,36103111503,4323,0.7864908628267407,0.10131852879944483,0.04950266018968309,0.09669211195928754,0.25815405968077726
36,103,111504,1391,1259,1187,82,80,23,425,36,103,111504,36103111504,1391,0.9051042415528396,0.05895039539899353,0.05751258087706686,0.01653486700215672,0.3055355859094177
36,103,111505,6486,4082,3559,1128,279,1428,1588,36,103,111505,36103111505,6486,0.6293555349984582,0.17391304347826086,0.04301572617946346,0.22016651248843663,0.2448350292938637
36,103,111506,3545,2368,2053,510,324,582,894,36,103,111506,36103111506,3545,0.6679830747531735,0.14386459802538787,0.09139633286318759,0.16417489421720732,0.25218617771509166
36,103,111601,3990,3784,3522,318,71,23,1117,36,103,111601,36103111601,3990,0.9483709273182958,0.07969924812030076,0.017794486215538845,0.0057644110275689225,0.2799498746867168
36,103,111602,3252,3090,2932,206,42,29,978,36,103,111602,36103111602,3252,0.9501845018450185,0.06334563345633457,0.012915129151291513,0.00891758917589176,0.3007380073800738
36,103,111701,5669,5058,4822,470,283,51,1644,36,103,111701,36103111701,5669,0.8922208502381372,0.08290703827835597,0.04992062092079732,0.008996295642970541,0.28999823602046215
36,103,111703,3246,3015,2852,209,106,38,922,36,103,111703,36103111703,3246,0.9288354898336414,0.06438693776956254,0.03265557609365373,0.01170671595810228,0.2840418977202711
36,103,111704,3251,3109,3009,135,52,28,1022,36,103,111704,36103111704,3251,0.9563211319593972,0.04152568440479852,0.015995078437403876,0.008612734543217471,0.3143648108274377
36,103,111801,6241,5552,5304,326,486,92,1910,36,103,111801,36103111801,6241,0.8896010254766864,0.05223521871494953,0.07787213587566096,0.01474122736740907,0.30604069860599264
36,103,111802,2932,2733,2640,125,113,22,904,36,103,111802,36103111802,2932,0.9321282401091405,0.04263301500682128,0.03854024556616644,0.007503410641200546,0.3083219645293315
36,103,111803,2712,2431,2321,135,186,29,827,36,103,111803,36103111803,2712,0.8963864306784661,0.049778761061946904,0.06858407079646017,0.010693215339233038,0.3049410029498525
36,103,111804,2397,2237,2146,98,118,19,713,36,103,111804,36103111804,2397,0.933249895702962,0.040884438881935756,0.049228201919065497,0.007926574885273258,0.2974551522736754
36,103,111900,5592,5065,4850,304,301,70,1846,36,103,111900,36103111900,5592,0.905758226037196,0.05436337625178827,0.05382689556509299,0.01251788268955651,0.3301144492131617
36,103,112001,4456,3756,3464,512,308,90,1337,36,103,112001,36103112001,4456,0.8429084380610413,0.11490125673249552,0.06912028725314183,0.020197486535008975,0.3000448833034111
36,103,112002,4966,4448,4277,244,243,128,1545,36,103,112002,36103112002,4966,0.8956906967378172,0.049134111961337094,0.048932742650020136,0.02577527184857028,0.3111155859846959
36,103,112102,3969,3434,3255,236,300,118,1207,36,103,112102,36103112102,3969,0.8652053413958176,0.05946082136558327,0.07558578987150416,0.029730410682791635,0.30410682791635174
36,103,112103,4496,4088,3927,229,244,46,1251,36,103,112103,36103112103,4496,0.9092526690391459,0.05093416370106762,0.054270462633451956,0.010231316725978648,0.2782473309608541
36,103,112104,2458,1912,1818,142,381,67,704,36,103,112104,36103112104,2458,0.7778681855166802,0.05777054515866558,0.15500406834825062,0.02725793327908869,0.28641171684296174
36,103,112204,3711,3327,3193,179,210,69,1190,36,103,112204,36103112204,3711,0.8965238480194018,0.04823497709512261,0.056588520614389654,0.018593371059013743,0.32066828348154136
36,103,112206,8271,7099,6797,418,642,282,2308,36,103,112206,36103112206,8271,0.8583000846330553,0.05053802442268166,0.07762060210373595,0.034095030830612987,0.2790472736065772
36,103,112210,7039,5575,5303,439,818,347,1946,36,103,112210,36103112210,7039,0.7920159113510442,0.062366813467822135,0.11620968887626083,0.04929677511010087,0.2764597243926694
36,103,112211,4487,3932,3740,222,315,151,1357,36,103,112211,36103112211,4487,0.8763093380878092,0.04947626476487631,0.07020280811232449,0.03365277468241587,0.30242924002674393
36,103,112212,3466,2704,2590,178,404,255,980,36,103,112212,36103112212,3466,0.7801500288517023,0.05135603000577034,0.11656087709174841,0.07357184073860358,0.2827466820542412
36,103,112213,5473,3921,3727,316,792,542,1538,36,103,112213,36103112213,5473,0.7164260917230039,0.057737986479079115,0.14471039649186918,0.09903160972044582,0.28101589621779643
36,103,112214,7003,6015,5744,358,524,288,2393,36,103,112214,36103112214,7003,0.8589176067399685,0.051120948165072115,0.07482507496787091,0.04112523204340997,0.34171069541625015
36,103,122300,4323,3575,3189,621,206,236,1061,36,103,122300,36103122300,4323,0.8269720101781171,0.1436502428868841,0.04765209345362017,0.05459171871385612,0.24543141337034466
36,103,122403,2513,805,586,376,102,1414,575,36,103,122403,36103122403,2513,0.3203342618384401,0.14962196577795464,0.04058893752487067,0.5626740947075209,0.22881018702745723
36,103,122404,3600,3097,2732,630,65,129,912,36,103,122404,36103122404,3600,0.8602777777777778,0.175,0.018055555555555554,0.035833333333333335,0.25333333333333335
36,103,122405,3566,936,718,525,205,2038,844,36,103,122405,36103122405,3566,0.26247896803140774,0.14722378014582166,0.05748738081884464,0.5715086932136848,0.23667975322490184
36,103,122406,5356,982,234,1571,48,3473,806,36,103,122406,36103122406,5356,0.18334578043315908,0.2933159073935773,0.008961911874533234,0.6484316654219567,0.15048543689320387
36,103,122501,4571,586,206,1291,27,3009,622,36,103,122501,36103122501,4571,0.12819951870487858,0.2824327280682564,0.0059068037628527675,0.6582804637934806,0.13607525705534895
36,103,122502,4698,568,158,970,24,3478,1008,36,103,122502,36103122502,4698,0.1209025117071094,0.2064708386547467,0.005108556832694764,0.7403150276713495,0.21455938697318008
