state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110803,1,1353,1271,1212,74,27,34,367,36,103,110803,1,361031108031,1353,0.9393939393939394,0.05469327420546933,0.019955654101995565,0.025129342202512936,0.2712490761271249
36,103,110803,2,1998,1926,1864,93,21,1,597,36,103,110803,2,361031108032,1998,0.963963963963964,0.046546546546546545,0.010510510510510511,0.0005005005005005005,0.2987987987987988
36,103,110803,3,1356,1308,1269,44,22,5,448,36,103,110803,3,361031108033,1356,0.9646017699115044,0.032448377581120944,0.016224188790560472,0.003687315634218289,0.3303834808259587
36,103,110803,4,1266,1218,1204,18,19,12,402,36,103,110803,4,361031108034,1266,0.9620853080568721,0.014218009478672985,0.015007898894154818,0.009478672985781991,0.3175355450236967
36,103,110901,1,740,709,681,30,18,6,205,36,103,110901,1,361031109011,740,0.9581081081081081,0.04054054054054054,0.024324324324324326,0.008108108108108109,0.27702702702702703
36,103,110901,2,659,573,500,98,10,46,184,36,103,110901,2,361031109012,659,0.8694992412746586,0.14871016691957512,0.015174506828528073,0.06980273141122914,0.27921092564491656
36,103,110901,3,1255,1185,1136,59,22,20,336,36,103,110901,3,361031109013,1255,0.9442231075697212,0.04701195219123506,0.01752988047808765,0.01593625498007968,0.26772908366533865
36,103,110902,1,1147,692,534,313,47,236,259,36,103,110902,1,361031109021,1147,0.6033129904097646,0.2728857890148213,0.04097646033129904,0.2057541412380122,0.22580645161290322
36,103,110902,2,1665,621,193,772,23,625,126,36,103,110902,2,361031109022,1665,0.372972972972973,0.4636636636636637,0.013813813813813814,0.37537537537537535,0.07567567567567568
36,103,110902,3,1397,1158,1037,245,44,58,393,36,103,110902,3,361031109023,1397,0.8289191123836793,0.17537580529706515,0.031496062992125984,0.04151753758052971,0.28131710808876165
36,103,111001,1,1022,834,791,79,19,99,307,36,103,111001,1,361031110011,1022,0.8160469667318982,0.07729941291585127,0.018590998043052837,0.09686888454011741,0.30039138943248533
36,103,111001,2,1067,875,758,153,54,86,260,36,103,111001,2,361031110012,1067,0.8200562324273665,0.14339268978444236,0.05060918462980318,0.08059981255857544,0.2436738519212746
36,103,111002,1,638,355,220,321,18,68,116,36,103,111002,1,361031110021,638,0.5564263322884012,0.5031347962382445,0.02821316614420063,0.10658307210031348,0.18181818181818182
36,103,111002,2,1001,833,761,147,29,57,287,36,103,111002,2,361031110022,1001,0.8321678321678322,0.14685314685314685,0.028971028971028972,0.056943056943056944,0.2867132867132867
36,103,111002,3,1968,611,114,1509,28,296,134,36,103,111002,3,361031110023,1968,0.31046747967479676,0.7667682926829268,0.014227642276422764,0.15040650406504066,0.06808943089430894
36,103,111002,4,1564,1044,757,561,62,149,351,36,103,111002,4,361031110024,1564,0.6675191815856778,0.358695652173913,0.03964194373401535,0.09526854219948849,0.22442455242966752
36,103,111100,1,2681,1229,482,1615,61,522,352,36,103,111100,1,361031111001,2681,0.4584110406564715,0.6023871689668034,0.022752704214845206,0.1947034688549049,0.13129429317418873
36,103,111100,2,1435,971,634,629,81,69,314,36,103,111100,2,361031111002,1435,0.6766550522648084,0.43832752613240417,0.05644599303135889,0.04808362369337979,0.21881533101045297
36,103,111100,3,1518,696,367,666,36,435,283,36,103,111100,3,361031111003,1518,0.45849802371541504,0.43873517786561267,0.023715415019762844,0.2865612648221344,0.18642951251646903
36,103,111100,4,2479,1175,571,1589,50,270,316,36,103,111100,4,361031111004,2479,0.47398144413069787,0.6409842678499394,0.02016942315449778,0.10891488503428802,0.127470754336426
36,103,111100,5,740,542,465,148,41,87,196,36,103,111100,5,361031111005,740,0.7324324324324324,0.2,0.05540540540540541,0.11756756756756757,0.2648648648648649
