state,county,tract,block,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110101,2024,131,125,115,10,6,0,38,36,103,110101,2024,361031101012024,131,0.9541984732824428,0.07633587786259542,0.04580152671755725,0.0,0.2900763358778626
36,103,110101,2025,48,43,43,0,0,0,14,36,103,110101,2025,361031101012025,48,0.8958333333333334,0.0,0.0,0.0,0.2916666666666667
36,103,110101,2026,23,23,19,4,0,0,6,36,103,110101,2026,361031101012026,23,1.0,0.17391304347826086,0.0,0.0,0.2608695652173913
36,103,110101,2027,0,0,0,0,0,0,0,36,103,110101,2027,361031101012027,0,0.0,0.0,0.0,0.0,0.0
36,103,110101,2028,168,160,157,3,2,6,50,36,103,110101,2028,361031101012028,168,0.9523809523809523,0.017857142857142856,0.011904761904761904,0.03571428571428571,0.2976190476190476
36,103,110101,2029,167,164,163,1,3,0,50,36,103,110101,2029,361031101012029,167,0.9820359281437125,0.005988023952095809,0.017964071856287425,0.0,0.2994011976047904
36,103,110101,2000,0,0,0,0,0,0,0,36,103,110101,2000,361031101012000,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,1000,176,170,164,6,2,0,45,36,103,110102,1000,361031101021000,176,0.9659090909090909,0.03409090909090909,0.011363636363636364,0.0,0.2556818181818182
36,103,110102,1001,227,219,215,6,5,0,63,36,103,110102,1001,361031101021001,227,0.9647577092511013,0.02643171806167401,0.022026431718061675,0.0,0.2775330396475771
36,103,110102,1002,30,30,30,0,0,0,10,36,103,110102,1002,361031101021002,30,1.0,0.0,0.0,0.0,0.3333333333333333
36,103,110102,1003,42,42,42,0,0,0,15,36,103,110102,1003,361031101021003,42,1.0,0.0,0.0,0.0,0.35714285714285715
36,103,110102,1004,0,0,0,0,0,0,0,36,103,110102,1004,361031101021004,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,1005,14,14,13,1,0,0,3,36,103,110102,1005,361031101021005,14,1.0,0.07142857142857142,0.0,0.0,0.21428571428571427
36,103,110102,1006,0,0,0,0,0,0,0,36,103,110102,1006,361031101021006,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,1007,0,0,0,0,0,0,0,36,103,110102,1007,361031101021007,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,1008,141,140,128,12,1,0,48,36,103,110102,1008,361031101021008,141,0.9929078014184397,0.0851063829787234,0.0070921985815602835,0.0,0.3404255319148936
36,103,110102,1009,27,27,27,0,0,0,8,36,103,110102,1009,361031101021009,27,1.0,0.0,0.0,0.0,0.2962962962962963
36,103,110102,1010,54,54,54,0,0,0,15,36,103,110102,1010,361031101021010,54,1.0,0.0,0.0,0.0,0.2777777777777778
36,103,110102,1011,33,33,33,0,0,0,8,36,103,110102,1011,361031101021011,33,1.0,0.0,0.0,0.0,0.24242424242424243
36,103,110102,1012,34,31,30,1,1,0,9,36,103,110102,1012,361031101021012,34,0.9117647058823529,0.029411764705882353,0.029411764705882353,0.0,0.2647058823529412
36,103,110102,1013,28,23,22,3,0,0,8,36,103,110102,1013,361031101021013,28,0.8214285714285714,0.10714285714285714,0.0,0.0,0.2857142857142857
36,103,110102,1014,6,6,6,0,0,0,2,36,103,110102,1014,361031101021014,6,1.0,0.0,0.0,0.0,0.3333333333333333
36,103,110102,1015,49,45,43,2,4,0,15,36,103,110102,1015,361031101021015,49,0.9183673469387755,0.04081632653061224,0.08163265306122448,0.0,0.30612244897959184
36,103,110102,1016,372,345,336,9,17,3,109,36,103,110102,1016,361031101021016,372,0.9274193548387096,0.024193548387096774,0.0456989247311828,0.008064516129032258,0.29301075268817206
36,103,110102,1017,8,6,6,2,0,0,2,36,103,110102,1017,361031101021017,8,0.75,0.25,0.0,0.0,0.25
36,103,110102,1018,45,41,41,0,4,0,13,36,103,110102,1018,361031101021018,45,0.9111111111111111,0.0,0.08888888888888889,0.0,0.28888888888888886
36,103,110102,1019,65,65,65,0,0,0,22,36,103,110102,1019,361031101021019,65,1.0,0.0,0.0,0.0,0.3384615384615385
36,103,110102,1020,84,84,84,0,0,0,27,36,103,110102,1020,361031101021020,84,1.0,0.0,0.0,0.0,0.32142857142857145
36,103,110102,1021,213,213,210,3,0,0,66,36,103,110102,1021,361031101021021,213,1.0,0.014084507042253521,0.0,0.0,0.30985915492957744
36,103,110102,1022,29,28,28,0,0,1,8,36,103,110102,1022,361031101021022,29,0.9655172413793104,0.0,0.0,0.034482758620689655,0.27586206896551724
36,103,110102,1023,6,6,6,0,0,0,2,36,103,110102,1023,361031101021023,6,1.0,0.0,0.0,0.0,0.3333333333333333
36,103,110102,1024,34,31,31,0,3,0,11,36,103,110102,1024,361031101021024,34,0.9117647058823529,0.0,0.08823529411764706,0.0,0.3235294117647059
36,103,110102,1025,9,9,9,0,0,0,3,36,103,110102,1025,361031101021025,9,1.0,0.0,0.0,0.0,0.3333333333333333
36,103,110102,1026,25,24,16,8,1,0,6,36,103,110102,1026,361031101021026,25,0.96,0.32,0.04,0.0,0.24
